Name	Anlageklasse	Gewichtung (%)	Kurs	Nominale	Marktwert	Nominalwert	Sektor	ISIN	Börse	Country	Weighting
HUTCHMED Volksrepublik China ADR LTD	Aktien	0,03	30,09	18357	552362	552362,13	Gesundheitsversorgung	US44842L1035	NASDAQ	Volksrepublik China	0.000335277013330231
Volksrepublik China GALAXY SECURITIES LTD H	Aktien	0,03	0,62	892000	550827	550826,69	Financials	CNE100001NT6	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000334345020151503
IHH HEALTHCARE	Aktien	0,03	1,28	426500	547590	547589,63	Gesundheitsversorgung	MYL5225OO007	Bursa Malaysia	Malaysia	0.000332380164579723
HYBE LTD	Aktien	0,03	238,26	2297	547272	547272,16	Kommunikation	KR7352820005	Südkorea Exchange (Stock Market)	Südkorea	0.00033218746419778
BANGKOK BANK PCL F	Aktien	0,03	3,65	150000	546763	546762,59	Financials	TH0001010014	Stock Exchange Of Thailand	Thailand	0.000331878161480588
AKESO INC	Aktien	0,03	8,03	68000	545711	545711,21	Gesundheitsversorgung	KYG0146B1032	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000331239986763079
Volksrepublik China MOLYBDENUM LTD H	Aktien	0,03	0,66	828000	545464	545463,69	Materialien	CNE100000114	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000331089745170052
MOMO ADR REPRESENTING INC	Aktien	0,03	13,9	39247	545533	545533,3	Kommunikation	US60879B1070	NASDAQ	Volksrepublik China	0.000331131997583152
NETMARBLE CORP	Aktien	0,03	122,26	4460	545291	545290,88	Kommunikation	KR7251270005	Südkorea Exchange (Stock Market)	Südkorea	0.000330984851627343
TAIWAN BUSINESS BANK LTD	Aktien	0,03	0,35	1571996	545178	545177,97	Financials	TW0002834009	Taiwan Stock Exchange	Taiwan	0.000330916316647266
BIOCON LTD	Aktien	0,03	5,27	103208	544128	544128,2	Gesundheitsversorgung	INE376G01013	National Stock Exchange Of India	Indien	0.000330279119179938
SEEGENE INC	Aktien	0,03	56,25	9674	544160	544159,79	Gesundheitsversorgung	KR7096530001	Südkorea Exchange (Kosdaq)	Südkorea	0.000330298293921065
THAI OIL NON-VOTING DR PCL	Aktien	0,03	1,93	282222	543689	543689,06	Energie	TH0796010R11	Stock Exchange Of Thailand	Thailand	0.000330012566605753
HUATAI SECURITIES LTD H	Aktien	0,03	1,49	365400	543612	543611,9	Financials	CNE100001YQ9	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000329965731435593
TRENT LTD	Aktien	0,03	11,67	46555	543372	543371,5	Zyklische Konsumgüter 	INE849A01020	National Stock Exchange Of India	Indien	0.000329819811594918
WALSIN TECHNOLOGY CORP	Aktien	0,03	7,29	74000	539444	539444,24	IT	TW0002492006	Taiwan Stock Exchange	Taiwan	0.000327436013119502
KINGSOFT CLOUD HOLDINGS ADR REPRES	Aktien	0,03	39,14	13716	536844	536844,24	IT	US49639K1016	NASDAQ	Volksrepublik China	0.000325857845125511
GENTING MALAYSIA	Aktien	0,03	0,7	771100	536109	536108,77	Zyklische Konsumgüter 	MYL4715OO008	Bursa Malaysia	Malaysia	0.00032541142388915
MISC	Aktien	0,03	1,65	324300	535786	535786,34	Industrie	MYL3816OO005	Bursa Malaysia	Malaysia	0.000325215712848264
INDORAMA VENTURES NON-VOTING DR PC	Aktien	0,03	1,45	370200	535621	535621,1	Materialien	TH1027010R10	Stock Exchange Of Thailand	Thailand	0.000325115414202369
YADEA GROUP HOLDINGS LTD	Aktien	0,03	2,28	234000	534557	534557,2	Zyklische Konsumgüter 	KYG9830F1063	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000324469639998982
TORRENT PHARMACEUTICALS LTD	Aktien	0,03	38,51	13801	531492	531491,5	Gesundheitsversorgung	INE685A01028	National Stock Exchange Of India	Indien	0.00032260879783776
SEMEN INDONESIA (PERSERO)	Aktien	0,03	0,73	731300	530762	530761,63	Materialien	ID1000106800	Indonesia Stock Exchange	Indonesien	0.000322165775732462
INDOFOOD SUKSES MAKMUR	Aktien	0,03	0,46	1153400	530508	530507,52	Nichtzyklische Konsumgüter	ID1000057003	Indonesia Stock Exchange	Indonesien	0.000322011534090557
INDUS TOWERS LTD	Aktien	0,03	3,4	155714	529276	529275,63	Kommunikation	INE121J01017	National Stock Exchange Of India	Indien	0.000321263792025127
UNIVERSAL ROBINA CORP	Aktien	0,03	2,93	179400	526100	526099,71	Nichtzyklische Konsumgüter	PHY9297P1004	Philippine Stock Exchange Inc.	Philippinen	0.000319336047680714
BAOZUN ADR REPRESENTING INC	Aktien	0,03	34,53	15231	525926	525926,43	Zyklische Konsumgüter 	US06684L1035	NASDAQ	Volksrepublik China	0.000319230868853791
GUANGZHOU R&F PROPERTIES LTD H	Aktien	0,03	1,25	419600	525795	525794,88	Immobilien	CNE100000569	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000319151019623172
LUFAX HLDG AMERICAN DEPOSITARY SH	Aktien	0,03	12,53	41911	525145	525144,83	Financials	US54975P1021	New York Stock Exchange Inc.	Volksrepublik China	0.00031875644727529
NINE DRAGONS PAPER HOLDINGS LTD	Aktien	0,03	1,4	374000	523620	523619,77	Materialien	BMG653181005	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000317830754628784
Volksrepublik China JINMAO HOLDINGS GROUP LTD	Aktien	0,03	0,4	1302000	523697	523697,12	Immobilien	HK0817039453	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000317877705126605
TOPSPORTS INTERNATIONAL HOLDINGS L	Aktien	0,03	1,61	325000	522893	522892,67	Zyklische Konsumgüter 	KYG8924B1041	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000317389413879387
ZTE CORP H	Aktien	0,03	2,79	186455	520411	520411,09	IT	CNE1000004Y2	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000315883125367646
DLF LTD	Aktien	0,03	4,07	127232	517511	517511,07	Immobilien	INE271C01023	National Stock Exchange Of India	Indien	0.000314122848926902
51JOB ADR REPRESENTING INC	Aktien	0,03	73,52	7020	516110	516110,4	Industrie	US3168271043	NASDAQ	Volksrepublik China	0.000313272659479155
YANZHOU COAL MINING LTD H	Aktien	0,03	1,39	369897	515968	515967,89	Energie	CNE1000004Q8	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000313186157663454
UP FINTECH HOLDING ADR LTD	Aktien	0,03	26,7	19299	515283	515283,3	Financials	US91531W1062	NASDAQ	Volksrepublik China	0.000312770619960759
PTT OIL AND RETAIL BUSINESS PCL NV	Aktien	0,03	1	513600	513189	513189,45	Zyklische Konsumgüter 	THA099010R13	Stock Exchange Of Thailand	Thailand	0.00031149967878606
ACC LTD	Aktien	0,03	27,53	18603	512150	512150,26	Materialien	INE012A01025	National Stock Exchange Of India	Indien	0.000310868903248492
KUALA LUMPUR KEPONG	Aktien	0,03	5,23	97700	511221	511220,93	Nichtzyklische Konsumgüter	MYL2445OO004	Bursa Malaysia	Malaysia	0.000310304811378548
AGORA ADR INC	Aktien	0,03	43,41	11760	510502	510501,6	IT	US00851L1035	NASDAQ	Volksrepublik China	0.000309868186923503
MRF LTD	Aktien	0,03	1163,17	438	509469	509468,58	Zyklische Konsumgüter 	INE883A01011	National Stock Exchange Of India	Indien	0.000309241156499983
GREENTOWN SERVICE GROUP LTD	Aktien	0,03	1,55	328000	508268	508268,18	Industrie	KYG410121084	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000308512528476911
JIANGXI COPPER LTD H	Aktien	0,03	2,23	226984	506825	506824,66	Materialien	CNE1000003K3	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000307636329606647
SHINSEGAE INC	Aktien	0,03	274,08	1820	498831	498831,12	Zyklische Konsumgüter 	KR7004170007	Südkorea Exchange (Stock Market)	Südkorea	0.000302784349227153
Volksrepublik China EDUCATION GROUP HOLDINGS LTD	Aktien	0,03	2,48	200000	496078	496077,66	Zyklische Konsumgüter 	KYG2163M1033	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000301113032902255
Volksrepublik China RAILWAY GROUP LTD H	Aktien	0,03	0,53	942501	495743	495743	Industrie	CNE1000007Z2	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000300909898401921
A-LIVING SERVICES LTD H	Aktien	0,03	4,67	105750	494200	494200,29	Industrie	CNE100002RY5	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000299973492422686
BEIJING ENTERPRISES HOLDINGS LTD	Aktien	0,03	3,53	139532	492878	492877,5	Versorger	HK0392044647	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000299170575176236
SARANA MENARA NUSANTARA	Aktien	0,03	0,09	5565000	490514	490514,17	Kommunikation	ID1000128804	Indonesia Stock Exchange	Indonesien	0.000297736062958837
YUEXIU PROPERTY LTD	Aktien	0,03	0,24	1996000	488910	488909,8	Immobilien	HK0123000694	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000296762230118637
CGN POWER LTD H	Aktien	0,03	0,22	2202000	488270	488270,37	Versorger	CNE100001T80	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000296374103980023
ZHEN DING TECHNOLOGY HOLDING LTD	Aktien	0,03	3,51	139000	487578	487578,49	IT	KYG989221000	Taiwan Stock Exchange	Taiwan	0.000295954141337068
SHANGHAI PHARMACEUTICALS HOLDING L	Aktien	0,03	2,28	213500	486625	486625,37	Gesundheitsversorgung	CNE1000012B3	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000295375609229978
KWG GROUP HOLDINGS LTD	Aktien	0,03	1,54	315000	484875	484874,66	Immobilien	KYG532241042	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000294312949811225
VENUS MEDTECH HANGZHOU INC H	Aktien	0,03	9,28	52000	482335	482334,97	Gesundheitsversorgung	CNE100003PJ8	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000292771389244818
HANMI PHARM LTD	Aktien	0,03	300,06	1600	480093	480093,15	Gesundheitsversorgung	KR7128940004	Südkorea Exchange (Stock Market)	Südkorea	0.00029141063210163
BEIJING ENTERPRISES WATER GROUP LT	Aktien	0,03	0,39	1214000	478911	478910,9	Versorger	BMG0957L1090	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000290693020905131
RUENTEX DEVELOPMENT LTD	Aktien	0,03	1,89	252020	477483	477482,86	Immobilien	TW0009945006	Taiwan Stock Exchange	Taiwan	0.000289826218204309
BOC AVIATION LTD	Aktien	0,03	8,94	53300	476528	476527,84	Industrie	SG9999015267	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000289246532820608
IPCA LABORATORIES LTD	Aktien	0,03	28,2	16881	476061	476061,25	Gesundheitsversorgung	INE571A01020	National Stock Exchange Of India	Indien	0.000288963318434333
IOI CORPORATION	Aktien	0,03	0,98	480900	469483	469483,28	Nichtzyklische Konsumgüter	MYL1961OO001	Bursa Malaysia	Malaysia	0.000284970571619167
METROPOLITAN BANK AND TRUST CO	Aktien	0,03	1,03	456556	469562	469562,2	Financials	PHY6028G1361	Philippine Stock Exchange Inc.	Philippinen	0.000285018475087661
Volksrepublik China OILFIELD SERVICES LTD H	Aktien	0,03	0,98	478539	467629	467628,69	Energie	CNE1000002P4	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000283844858319176
GOME RETAIL HOLDINGS LTD	Aktien	0,03	0,16	2943000	466670	466670,1	Zyklische Konsumgüter 	BMG3978C1249	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000283263005989423
CELLTRION PHARM INC	Aktien	0,03	122,8	3784	464675	464675	Gesundheitsversorgung	KR7068760008	Südkorea Exchange (Kosdaq)	Südkorea	0.000282052004849111
Volksrepublik China CINDA ASSET MANAGEMENT LTD H	Aktien	0,03	0,21	2179000	463506	463506,45	Financials	CNE100001QS1	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000281342709383965
BANGKOK EXPRESSWAY AND METRO PCL N	Aktien	0,03	0,27	1744100	462863	462862,67	Industrie	TH6999010R15	Stock Exchange Of Thailand	Thailand	0.000280951942848899
KRUNGTHAI CARD NON-VOTING DR PCL	Aktien	0,03	2,35	194900	458038	458038,37	Financials	TH0689010R18	Stock Exchange Of Thailand	Thailand	0.000278023652136049
Volksrepublik China RESOURCES MIXC LIFESTYLE SER	Aktien	0,03	5,53	82600	456827	456827,19	Immobilien	KYG2122G1064	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000277288480785679
ALTEOGEN INC	Aktien	0,03	62,61	7230	452664	452664,25	Gesundheitsversorgung	KR7196170005	Südkorea Exchange (Kosdaq)	Südkorea	0.000274761627451485
REC LTD	Aktien	0,03	2,06	216854	447483	447482,99	Financials	INE020B01018	National Stock Exchange Of India	Indien	0.000271616666412814
SUNAC SERVICES HOLDINGS LTD	Aktien	0,03	2,98	149000	443724	443723,93	Immobilien	KYG8569B1041	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000269334963266856
KINGBOARD LAMINATES HOLDINGS LTD	Aktien	0,03	2,26	195000	440939	440939,3	IT	KYG5257K1076	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000267644727135661
SHENZHEN INTERNATIONAL HOLDINGS LT	Aktien	0,03	1,5	294000	439663	439663,01	Industrie	BMG8086V1467	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000266870034816796
B.GRIMM POWER PCL NON-VOTING DR	Aktien	0,03	1,41	312100	439086	439085,53	Versorger	TH7545010R15	Stock Exchange Of Thailand	Thailand	0.000266519511565577
MERDEKA COPPER GOLD	Aktien	0,03	0,18	2403700	437189	437189,23	Materialien	ID1000134406	Indonesia Stock Exchange	Indonesien	0.000265368480809036
BOSIDENG INTERNATIONAL LTD	Aktien	0,03	0,57	766000	435494	435493,79	Zyklische Konsumgüter 	KYG126521064	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000264339369599909
TAIWAN HIGH SPEED RAIL CORP	Aktien	0,03	1,08	401000	434139	434139,3	Industrie	TW0002633005	Taiwan Stock Exchange	Taiwan	0.000263517210843685
DB INSURANCE LTD	Aktien	0,03	45,77	9439	432024	432023,74	Financials	KR7005830005	Südkorea Exchange (Stock Market)	Südkorea	0.000262233091966236
21VIANET GROUP ADR REPRESENTING SI	Aktien	0,03	20,4	21162	431705	431704,8	IT	US90138A1034	NASDAQ	Volksrepublik China	0.000262039499312389
SK CHEMICALS LTD	Aktien	0,03	228,85	1880	430239	430238,7	Materialien	KR7285130001	Südkorea Exchange (Stock Market)	Südkorea	0.000261149594660085
TELEKOM MALAYSIA	Aktien	0,03	1,49	286400	426686	426686,05	Kommunikation	MYL4863OO006	Bursa Malaysia	Malaysia	0.000258993179843219
SHINPOONG PHARMACEUTICAL LTD	Aktien	0,03	58,13	7329	426040	426039,77	Gesundheitsversorgung	KR7019170000	Südkorea Exchange (Stock Market)	Südkorea	0.000258600895838928
GAOTU TECHEDU ADR REPRESENTING I	Aktien	0,03	14,24	29878	425463	425462,72	Zyklische Konsumgüter 	US36257Y1091	New York Stock Exchange Inc.	Volksrepublik China	0.000258250633592416
AIR Volksrepublik China LTD H	Aktien	0,03	0,81	522757	424576	424575,58	Industrie	CNE1000001S0	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000257712150533112
YES BANK LTD	Aktien	0,03	0,19	2252342	424206	424206,18	Financials	INE528G01035	National Stock Exchange Of India	Indien	0.000257487929280427
ALUMINUM CORPORATION OF Volksrepublik China CORP	Aktien	0,03	0,55	774000	423079	423078,96	Materialien	CNE1000001T8	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00025680372061651
ABOITIZ EQUITY VENTURES PHP1 INC	Aktien	0,03	0,81	519360	420471	420470,55	Industrie	PHY0001Z1040	Philippine Stock Exchange Inc.	Philippinen	0.000255220447856046
ADARO ENERGY TBK	Aktien	0,03	0,09	4877300	419663	419662,75	Energie	ID1000111305	Indonesia Stock Exchange	Indonesien	0.000254730123200067
AMMB HOLDINGS	Aktien	0,03	0,71	592800	419326	419325,58	Financials	MYL1015OO006	Bursa Malaysia	Malaysia	0.000254525465160631
SIEMENS LTD	Aktien	0,03	29,04	14305	415348	415348,33	Industrie	INE003A01024	National Stock Exchange Of India	Indien	0.000252111323370592
AMOREG	Aktien	0,03	69,69	5952	414766	414766,09	Nichtzyklische Konsumgüter	KR7002790004	Südkorea Exchange (Stock Market)	Südkorea	0.000251757910857969
Volksrepublik China STATE CONSTRUCTION INTERNATI	Aktien	0,02	0,73	570000	414447	414446,59	Industrie	KYG216771363	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000251563978291015
ALIBABA PICTURES GROUP LTD	Aktien	0,02	0,14	3030000	414060	414059,83	Kommunikation	BMG0171W1055	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000251329219732032
QL RESOURCES	Aktien	0,02	1,45	284850	414026	414026,16	Nichtzyklische Konsumgüter	MYL7084OO006	Bursa Malaysia	Malaysia	0.00025130878245651
FAR EAST HORIZON LTD	Aktien	0,02	1,06	389000	413731	413731,09	Financials	HK0000077468	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000251129678598822
KALBE FARMA	Aktien	0,02	0,1	3980700	413525	413524,97	Gesundheitsversorgung	ID1000125107	Indonesia Stock Exchange	Indonesien	0.00025100456629616
COSCO SHIPPING PORTS LTD	Aktien	0,02	0,81	509414	413082	413081,86	Industrie	BMG2442N1048	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000250735603980846
GREEN CROSS(SOUTH Südkorea) CORP	Aktien	0,02	290,21	1420	412092	412091,9	Gesundheitsversorgung	KR7006280002	Südkorea Exchange (Stock Market)	Südkorea	0.000250134710447257
BARITO PACIFIC	Aktien	0,02	0,06	6649200	411650	411650,37	Materialien	ID1000085707	Indonesia Stock Exchange	Indonesien	0.000249866707172493
GS HOLDINGS	Aktien	0,02	42,41	9687	410837	410837,43	Energie	KR7078930005	Südkorea Exchange (Stock Market)	Südkorea	0.000249373262599787
PAN OCEAN LTD	Aktien	0,02	5,94	68916	409255	409255,3	Industrie	KR7028670008	Südkorea Exchange (Stock Market)	Südkorea	0.000248412929165813
Volksrepublik China TRADITIONAL CHI MEDICINE CO	Aktien	0,02	0,63	646000	408078	408078,02	Gesundheitsversorgung	HK0000056256	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000247698334698134
MING YUAN CLOUD GROUP HOLDINGS LTD	Aktien	0,02	4,8	85000	407640	407639,7	IT	KYG6142R1092	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000247432279853855
MALAYSIA AIRPORTS HOLDINGS	Aktien	0,02	1,42	285680	406928	406927,91	Industrie	MYL5014OO005	Bursa Malaysia	Malaysia	0.000247000232085992
INDRAPRASTHA GAS LTD	Aktien	0,02	7,18	56646	406730	406730,02	Versorger	INE203G01027	National Stock Exchange Of India	Indien	0.000246880115292019
Volksrepublik China LIFE INSURANCE LTD	Aktien	0,02	0,89	452504	404167	404167,23	Financials	TW0002823002	Taiwan Stock Exchange	Taiwan	0.000245324533309973
THAI UNION GROUP NON-VOTING DR PCL	Aktien	0,02	0,57	713600	403860	403859,95	Nichtzyklische Konsumgüter	TH0450010R15	Stock Exchange Of Thailand	Thailand	0.000245138018132591
GF SECURITIES LTD H	Aktien	0,02	1,36	294800	401334	401334,05	Financials	CNE100001TQ9	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000243604827926428
SRISAWAD CORPORATION PCL NON-LISTI	Aktien	0,02	2,4	166800	400000	400000	Financials	TH5456010R17	Stock Exchange Of Thailand	Thailand	0.000242795075998589
3SBIO INC	Aktien	0,02	1,21	330500	398380	398380,14	Gesundheitsversorgung	KYG8875G1029	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000241811840919071
NOAH HOLDINGS ADR REPRESENTING .5	Aktien	0,02	44,7	8857	395908	395907,9	Financials	US65487X1028	New York Stock Exchange Inc.	Volksrepublik China	0.000240311221672354
SIME DARBY PLANTATION	Aktien	0,02	1,06	372638	395386	395386,25	Nichtzyklische Konsumgüter	MYL5285OO001	Bursa Malaysia	Malaysia	0.000239994586543867
TOWER BERSAMA INFRASTRUCTURE	Aktien	0,02	0,2	1926600	390846	390845,75	Kommunikation	ID1000116908	Indonesia Stock Exchange	Indonesien	0.000237238558937439
CJ ENM LTD	Aktien	0,02	147,97	2625	388419	388418,65	Zyklische Konsumgüter 	KR7035760008	Südkorea Exchange (Kosdaq)	Südkorea	0.000235765339115048
WIPRO ADR REPTG ONE LTD	Aktien	0,02	8,09	47912	387608	387608,08	IT	US97651M1099	New York Stock Exchange Inc.	Indien	0.000235273333103168
SUPERMAX CORPORATION	Aktien	0,02	0,95	406760	386264	386264,34	Gesundheitsversorgung	MYL7106OO007	Bursa Malaysia	Malaysia	0.000234457699464612
AVIVolksrepublik China INDUSTRY & TECHNOLOGY LTD	Aktien	0,02	0,65	593000	384536	384536,25	Industrie	CNE1000001Y8	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000233408770107406
INDAH KIAT PULP & PAPER	Aktien	0,02	0,62	616600	383892	383892,27	Materialien	ID1000062201	Indonesia Stock Exchange	Indonesien	0.000233017882174802
ONECONNECT FINANCIAL TECHNOLOGY AD	Aktien	0,02	13,5	28425	383738	383737,5	IT	US68248T1051	New York Stock Exchange Inc.	Volksrepublik China	0.000232923938690021
SHIMAO SERVICES HOLDINGS LTD	Aktien	0,02	2,68	143000	382533	382532,86	Immobilien	KYG8104A1085	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000232192737039144
CHEIL WORLDWIDE INC	Aktien	0,02	22,12	17206	380660	380660,31	Kommunikation	KR7030000004	Südkorea Exchange (Stock Market)	Südkorea	0.000231056122240241
MUANGTHAI CAPITAL ORS NON-VOTING D	Aktien	0,02	2	190200	380096	380095,92	Financials	TH6068010R19	Stock Exchange Of Thailand	Thailand	0.000230713544457884
BEIJING-SHANGHAI HIGH SPEED RAILWA	Aktien	0,02	0,89	424300	377917	377917,15	Industrie	CNE100003RV9	Shanghai Stock Exchange	Volksrepublik China	0.00022939105788855
ELECTRICITY GENERATING NON-VOTING	Aktien	0,02	5,58	67400	376061	376060,75	Versorger	TH0465010R13	Stock Exchange Of Thailand	Thailand	0.000228264245940841
DOUZONBIZON LTD	Aktien	0,02	72,91	5141	374829	374828,61	IT	KR7012510004	Südkorea Exchange (Stock Market)	Südkorea	0.000227516352128488
ANHUI GUJING DISTILLERY LTD B	Aktien	0,02	14,06	26500	372688	372688,01	Nichtzyklische Konsumgüter	CNE000000K82	Shenzhen Stock Exchange	Volksrepublik China	0.000226217034279282
LG HOUSEHOLD & HEALTH CARE PREF LT	Aktien	0,02	646,69	567	366675	366674,73	Nichtzyklische Konsumgüter	KR7051901007	Südkorea Exchange (Stock Market)	Südkorea	0.00022256704734278
DADA NEXUS ADS REPRESENTING LTD	Aktien	0,02	25,41	14399	365879	365878,59	Zyklische Konsumgüter 	US23344D1081	NASDAQ	Volksrepublik China	0.000222083800163266
Volksrepublik China YUHUA EDUCATION CORPORATION	Aktien	0,02	0,99	368000	365777	365777,35	Zyklische Konsumgüter 	KYG2120K1094	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000222022348729531
ZOOMLION HEAVY INDUSTRY SCIENCE AN	Aktien	0,02	1,13	323000	363523	363522,56	Industrie	CNE100000X85	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000220653718956004
INDOFOOD CBP SUKSES MAKMUR	Aktien	0,02	0,59	614500	363241	363240,64	Nichtzyklische Konsumgüter	ID1000116700	Indonesia Stock Exchange	Indonesien	0.00022048259698644
ASMEDIA TECHNOLOGY INC	Aktien	0,02	51,79	7000	362505	362504,51	IT	TW0005269005	Taiwan Stock Exchange	Taiwan	0.000220035775138203
BEIJING CAPITAL INTERNATIONAL AIRP	Aktien	0,02	0,71	514000	362464	362464,14	Industrie	CNE100000221	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000220011271045158
SIME DARBY	Aktien	0,02	0,55	659338	360975	360974,78	Industrie	MYL4197OO009	Bursa Malaysia	Malaysia	0.000219107247859185
SUN ART RETAIL GROUP LTD	Aktien	0,02	0,76	476000	360827	360826,88	Nichtzyklische Konsumgüter	HK0000083920	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000219017474379834
EVER SUNSHINE LIFESTYLE SERVICES G	Aktien	0,02	2,58	140000	360610	360610,3	Industrie	KYG3313W1087	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000218886012985935
RATCH GROUP PCL NVDR	Aktien	0,02	1,65	213500	353273	353273,38	Versorger	TH0637010R17	Stock Exchange Of Thailand	Thailand	0.000214432592863446
BERLI JUCKER NON-VOTING DR PCL	Aktien	0,02	1,12	315600	353189	353189,45	Nichtzyklische Konsumgüter	TH0002010R14	Stock Exchange Of Thailand	Thailand	0.000214381648386624
SINOTRUK (HONG KONG) LTD	Aktien	0,02	2,21	158000	348719	348718,87	Industrie	HK3808041546	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.00021166806135948
POWERLONG REAL ESTATE HOLDINGS LTD	Aktien	0,02	0,97	352000	343067	343067,1	Immobilien	KYG720051047	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000208237506542789
UNI-PRESIDENT LTD	Aktien	0,02	1,09	309000	337807	337807,23	Nichtzyklische Konsumgüter	KYG9222R1065	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000205044830201807
MANILA ELECTRIC	Aktien	0,02	5,91	56880	335990	335989,95	Versorger	PHY5764J1483	Philippine Stock Exchange Inc.	Philippinen	0.00020394176361253
CHINDATA GROUP HOLDING ADR REPRESE	Aktien	0,02	16,05	20927	335878	335878,35	IT	US16955F1075	NASDAQ	Volksrepublik China	0.000203874023786326
NH INVESTMENT & SECURITIES LTD	Aktien	0,02	11,69	28159	329146	329145,91	Financials	KR7005940002	Südkorea Exchange (Stock Market)	Südkorea	0.000199787515582687
KMW LTD	Aktien	0,02	49,8	6604	328884	328883,87	IT	KR7032500001	Südkorea Exchange (Kosdaq)	Südkorea	0.0001996284605284
Volksrepublik China EVERBRIGHT LTD	Aktien	0,02	1,19	276000	328417	328416,82	Financials	HK0165000859	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000199344966927787
CJ LOGISTICS CORP	Aktien	0,02	149,58	2196	328480	328480,45	Industrie	KR7000120006	Südkorea Exchange (Stock Market)	Südkorea	0.000199383589554502
DAEWOO SHIPBUILDING & MARINE ENGIN	Aktien	0,02	34,35	9562	328454	328454,21	Industrie	KR7042660001	Südkorea Exchange (Stock Market)	Südkorea	0.000199367662197516
S-1 CORP	Aktien	0,02	72,73	4512	328160	328160,15	Industrie	KR7012750006	Südkorea Exchange (Stock Market)	Südkorea	0.000199189171397396
Volksrepublik China AOYUAN GROUP LTD	Aktien	0,02	1	328000	326865	326864,64	Immobilien	KYG2119Z1090	Hong Kong Exchanges And Clearing Ltd	Volksrepublik China	0.000198402812775128
PETRONAS DAGANGAN	Aktien	0,02	4,54	71500	324591	324590,6	Energie	MYL5681OO001	Bursa Malaysia	Malaysia	0.000197022498488569
INDOCEMENT TUNGGAL PRAKARSA	Aktien	0,02	0,87	372300	322295	322295,38	Materialien	ID1000061302	Indonesia Stock Exchange	Indonesien	0.000195629328202735
ASSET WORLD CORP PCL NVDR	Aktien	0,02	0,15	2087400	321703	321703,21	Zyklische Konsumgüter 	TH9436010R15	Stock Exchange Of Thailand	Thailand	0.00019526988830235
